Rank,Name,Age,Gender,Timed segment 1: Start to Sunshine,Timed segment 2: Linden to Cemex,Total
#93,Erik Ipson,51,Male,2:40:16,2:20:56,5:01:12
#94,Mark Silver,60,Male,2:57:10,2:06:08,5:03:18
#95,Caroline Smith,61,Female,2:55:22,2:13:28,5:08:50
#96,Brian Schmierer,44,Male,2:56:34,2:17:56,5:14:30
#97,MJ Redman,53,Female,2:57:53,2:18:10,5:16:03
#98,Devora Peterson,64,Female,2:57:54,2:18:12,5:16:06
#99,,,,3:05:07,2:13:05,5:18:12
#100,Tyler Johnson,35,Male,2:57:24,2:24:08,5:21:32
#101,Kit Melton,28,Female,3:04:40,2:24:09,5:28:49
#102,Phil Walczynski,50,Male,3:14:12,2:14:40,5:28:52
#103,Sean Watson,50,Male,3:25:08,2:05:48,5:30:56
#104,,,,3:44:26,2:00:14,5:44:40
#105,Courtney Snyder,32,Male,3:30:06,2:35:29,6:05:35
#106,Chris McDermut,30,Male,3:40:36,2:27:31,6:08:07
#107,Wesley Hudson,54,Male,3:30:00,2:44:06,6:14:06
#108,Brandon Thomason,,,4:31:58,2:57:08,7:29:06
#109,matthew bell,29,Male,,1:27:45,1:27:45
#110,Kyle Pitman,44,Male,1:51:10,,1:51:10
#111,christopher kinneer,46,Male,,1:56:45,1:56:45
#112,Aaron Bitters,43,Male,,2:06:50,2:06:50
#113,Mia Aseltine,17,Female,2:11:10,,2:11:10
#114,Adam Sher,57,Male,2:25:26,,2:25:26
#115,,,,,2:29:19,2:29:19
#116,,,,2:58:40,,2:58:40
#117,David Krenz,45,Male,3:01:43,,3:01:43
#118,Jackson Strickland,,,3:03:08,,3:03:08
#119,,,,3:44:43,,3:44:43
#120,Ben Wilson,42,Male,3:50:42,,3:50:42
#121,christian stover,41,Female,3:50:48,,3:50:48
#122,Jacob McClure,31,Male,4:31:57,,4:31:57
#123,CORY REID VANAS,39,Male,,,
#124,Sam Freeman,,,,,
#125,Michael Petrie,,,,,
#126,Zeb Merling,35,Male,,,
#127,Tim McAndrew,56,Male,,,
#128,Víctor Diaz,,,,,
#129,Brad Bensley,45,Male,,,
#130,Bernardo Alatorre,50,Male,,,
#131,Adventure Fit Events,,Male,,,
#132,Anthony Pinter,28,Male,,,
#133,Logan Kiff,29,Male,,,
#134,Brandon Camarda,31,Male,,,
#135,Giles Goodwin,46,Male,,,
#136,Joshua McGehee,31,Male,,,
#137,,,,,,
#138,Brian Sheridan,57,Male,,,
#139,Scott Yamada,39,Male,,,
#140,Tim Downing,70,Male,,,
#141,Terry Gill,61,Male,,,
#142,scott Hurst,52,Male,,,
#143,,,,,,
#144,Kimberly Nuffer,52,Female,,,
#145,Lisa Jancy,41,Female,,,
#146,Ben Davis,,Male,,,
#147,Mitchell Snyder,,,,,
#148,,,Male,,,
#149,,,,,,
#150,,,,,,
#151,Jackson Hubbell,,,,,
#152,,,,,,
#153,,,,,,
#154,Jonathan Pasque,,Male,,,
#155,,,,,,
#156,Adam Scott,,Male,,,
#157,,,,,,
#158,,,,,,
#159,Bryce Reynolds,,,,,
#160,Marty Shea,60,Male,,,
#161,John Heisel,,Male,,,
#162,Michael Robson,,,,,
#163,Matt Kijowski,,,,,
#164,Paul Martens,,Male,,,
#165,,,,,,
#166,Jose Bolivar,,Male,,,
#167,Jay Castleberry,54,Male,,,
#168,Eric Cefus,,Male,,,
#169,Seth Frankel,50,Male,,,
#170,,,,,,
#171,Rob Kane,,,,,
#172,,,,,,
#173,Doug Ferguson,,Male,,,
#174,Anna Dorovskikh,,Female,,,
#175,Stacy Page,,Female,,,
#176,,,,,,
#177,Elias Julian,,,,,
#178,John Hardee,29,Male,,,
#179,Ady Short,,Male,,,
#180,Bart Deferme,43,Male,,,
#181,Stephen Fitzgerald,,Male,,,
#182,Mike Pasko,35,Male,,,
#183,,,,,,
#184,,,,,,
#185,,,,,,
#186,Carol Storey,,,,,
#187,Joyce Kelly,,Female,,,
#188,Harry Lawyer,,Male,,,
#189,Paul Gibbons,,,,,
#190,,,,,,
#191,Steven Schultz,38,Male,,,
#192,Steven Cohen,58,Male,,,
#193,Scott Raymond,55,Male,,,
#194,Claire Porter,28,Female,,,
#195,,,,,,
#196,,,,,,
#197,,,,,,
#198,,,,,,
#199,,,,,,
#200,,,,,,
#201,Austin Whittington,,Male,,,
#202,,,,,,
#203,Bill Eccleston,,Male,,,
